rideId,departureDate,segmentSequence,fromStopId,toStopId,fromStopName,toStopName
124603531,2021-06-02,1,2425,12448,Rome Tiburtina Bus station,Avezzano
124603531,2021-06-02,2,12448,15228,Avezzano,Ascoli Piceno
124603531,2021-06-02,3,15228,23678,Ascoli Piceno,Ancona (Stazione FS)
124603531,2021-06-02,4,23678,3968,Ancona (Stazione FS),Bologna (central bus station)
124603531,2021-06-02,5,3968,20028,Bologna (central bus station),Skopje
124643301,2021-06-02,1,11898,31911,MissingStop,Vienna Central Station
124643301,2021-06-02,2,31911,20088,Vienna Central Station,Novi Sad MAS
124643301,2021-06-03,3,20088,31691,Novi Sad MAS,Ruma
124643301,2021-06-03,4,31691,31721,Ruma,Sremska Mitrovica
124643301,2021-06-03,5,31721,31711,Sremska Mitrovica,Šabac
124643301,2021-06-03,6,31711,31681,Šabac,Koceljeva
124643301,2021-06-03,7,31681,31671,Koceljeva,Valjevo
124694901,2021-06-02,1,31671,42591,Valjevo,Ub
124694901,2021-06-02,2,42591,42601,Ub,Obrenovac
124694901,2021-06-02,3,42601,20018,Obrenovac,Belgrade AS
124959011,2021-06-02,1,7118,7108,"Bohumín, Nový Bohumín, žel.st.",Ostrava hl.n. LEO
124959011,2021-06-02,2,7108,11878,Ostrava hl.n. LEO,Ostrava hl.n.
124959011,2021-06-02,3,11878,7098,Ostrava hl.n.,Ostrava-Svinov
124959011,2021-06-02,4,7098,7088,Ostrava-Svinov,Studénka
124959011,2021-06-02,5,7088,7078,Studénka,Suchdol nad Odrou
124959011,2021-06-02,6,7078,7068,Suchdol nad Odrou,Hranice na Moravě
124959011,2021-06-02,7,7068,7028,Hranice na Moravě,Přerov
124959011,2021-06-02,8,7028,7018,Přerov,Olomouc Main Station
124959011,2021-06-02,9,7018,7008,Olomouc Main Station,Zábřeh
124959011,2021-06-02,10,7008,42551,Zábřeh,Ústí nad Orlicí (train)
124959011,2021-06-02,11,42551,6998,Ústí nad Orlicí (train),Pardubice
124959011,2021-06-02,12,6998,6978,Pardubice,Kolín
124959011,2021-06-02,13,6978,16018,Kolín,Prague Libeň
124959011,2021-06-02,14,16018,24658,Prague Libeň,Prague Main Station (Train)
124959011,2021-06-02,15,24658,6988,Prague Main Station (Train),Prague Main Railway Station
125381211,2021-06-02,1,54791,54781,MissingStop,Bucharest Autogara  Filaret
125424281,2021-06-02,1,48831,48901,Ankara bus station,Bolu bus station
125424281,2021-06-02,2,48901,48981,Bolu bus station,Düzce bus station
125424281,2021-06-02,3,48981,49061,Düzce bus station,Akçakoca bus station
125424281,2021-06-02,4,49061,49461,Akçakoca bus station,Alaplı bus station
125424281,2021-06-02,5,49461,48671,Alaplı bus station,Ereğli-Kdz bus station
125542291,2021-06-02,1,48161,49301,MissingStop,Mucur bus station
125542291,2021-06-02,2,49301,47931,Mucur bus station,Kırşehir bus station
125542291,2021-06-02,3,47931,48171,Kırşehir bus station,Kırıkkale bus station
125542291,2021-06-02,4,48171,49101,Kırıkkale bus station,Elmadağ bus station
125542291,2021-06-02,5,49101,49881,Elmadağ bus station,Kayaş Çalışkan
125542291,2021-06-02,6,49881,48831,Kayaş Çalışkan,Ankara bus station
125542291,2021-06-02,7,48831,48901,Ankara bus station,Bolu bus station
125542291,2021-06-02,8,48901,48981,Bolu bus station,Düzce bus station
125542291,2021-06-02,9,48981,47921,Düzce bus station,Gebze bus station
125542291,2021-06-02,10,47921,48021,Gebze bus station,İstanbul Dudullu
125542291,2021-06-02,11,48021,47991,İstanbul Dudullu,İstanbul Alibeyköy
125542291,2021-06-02,12,47991,48041,İstanbul Alibeyköy,İstanbul Esenler
125879931,2021-06-02,1,47502,49221,MissingStop,Kozlu bus station
125879931,2021-06-02,2,49221,48671,Kozlu bus station,Ereğli-Kdz bus station
125879931,2021-06-02,3,48671,49461,Ereğli-Kdz bus station,Alaplı bus station
125879931,2021-06-02,4,49461,49061,Alaplı bus station,Akçakoca bus station
125879931,2021-06-02,5,49061,48981,Akçakoca bus station,Düzce bus station
125879931,2021-06-02,6,48981,51871,Düzce bus station,Taytem rest station
125879931,2021-06-02,7,51871,47921,Taytem rest station,Gebze bus station
125879931,2021-06-02,8,47921,48021,Gebze bus station,İstanbul Dudullu
125879931,2021-06-02,9,48021,47991,İstanbul Dudullu,İstanbul Alibeyköy
125879931,2021-06-02,10,47991,48041,İstanbul Alibeyköy,İstanbul Esenler
126472741,2021-06-02,1,48031,48351,MissingStop,Milas bus station
126472741,2021-06-03,2,48351,48461,Milas bus station,Söke bus station
