rideId,departureDate,stopSequence,stopId,stopName
124603531,2021-06-02,1,2425,Rome Tiburtina Bus station
124603531,2021-06-02,2,12448,Avezzano
124603531,2021-06-02,3,15228,Ascoli Piceno
124603531,2021-06-02,4,23678,Ancona (Stazione FS)
124603531,2021-06-02,5,3968,Bologna (central bus station)
124603531,2021-06-02,6,20028,Skopje
124643301,2021-06-02,1,11898,MissingStop
124643301,2021-06-02,2,31911,Vienna Central Station
124643301,2021-06-03,3,20088,Novi Sad MAS
124643301,2021-06-03,4,31691,Ruma
124643301,2021-06-03,5,31721,Sremska Mitrovica
124643301,2021-06-03,6,31711,Šabac
124643301,2021-06-03,7,31681,Koceljeva
124643301,2021-06-03,8,31671,Valjevo
124694901,2021-06-02,1,31671,Valjevo
124694901,2021-06-02,2,42591,Ub
124694901,2021-06-02,3,42601,Obrenovac
124694901,2021-06-02,4,20018,Belgrade AS
124959011,2021-06-02,1,7118,"Bohumín, Nový Bohumín, žel.st."
124959011,2021-06-02,2,7108,Ostrava hl.n. LEO
124959011,2021-06-02,3,11878,Ostrava hl.n.
124959011,2021-06-02,4,7098,Ostrava-Svinov
124959011,2021-06-02,5,7088,Studénka
124959011,2021-06-02,6,7078,Suchdol nad Odrou
124959011,2021-06-02,7,7068,Hranice na Moravě
124959011,2021-06-02,8,7028,Přerov
124959011,2021-06-02,9,7018,Olomouc Main Station
124959011,2021-06-02,10,7008,Zábřeh
124959011,2021-06-02,11,42551,Ústí nad Orlicí (train)
124959011,2021-06-02,12,6998,Pardubice
124959011,2021-06-02,13,6978,Kolín
124959011,2021-06-02,14,16018,Prague Libeň
124959011,2021-06-02,15,24658,Prague Main Station (Train)
124959011,2021-06-02,16,6988,Prague Main Railway Station
125381211,2021-06-02,1,54791,MissingStop
125381211,2021-06-02,2,54781,Bucharest Autogara  Filaret
125424281,2021-06-02,1,48831,Ankara bus station
125424281,2021-06-02,2,48901,Bolu bus station
125424281,2021-06-02,3,48981,Düzce bus station
125424281,2021-06-02,4,49061,Akçakoca bus station
125424281,2021-06-02,5,49461,Alaplı bus station
125424281,2021-06-02,6,48671,Ereğli-Kdz bus station
125542291,2021-06-02,1,48161,MissingStop
125542291,2021-06-02,2,49301,Mucur bus station
125542291,2021-06-02,3,47931,Kırşehir bus station
125542291,2021-06-02,4,48171,Kırıkkale bus station
125542291,2021-06-02,5,49101,Elmadağ bus station
125542291,2021-06-02,6,49881,Kayaş Çalışkan
125542291,2021-06-02,7,48831,Ankara bus station
125542291,2021-06-02,8,48901,Bolu bus station
125542291,2021-06-02,9,48981,Düzce bus station
125542291,2021-06-02,10,47921,Gebze bus station
125542291,2021-06-02,11,48021,İstanbul Dudullu
125542291,2021-06-02,12,47991,İstanbul Alibeyköy
125542291,2021-06-02,13,48041,İstanbul Esenler
125879931,2021-06-02,1,47502,MissingStop
125879931,2021-06-02,2,49221,Kozlu bus station
125879931,2021-06-02,3,48671,Ereğli-Kdz bus station
125879931,2021-06-02,4,49461,Alaplı bus station
125879931,2021-06-02,5,49061,Akçakoca bus station
125879931,2021-06-02,6,48981,Düzce bus station
125879931,2021-06-02,7,51871,Taytem rest station
125879931,2021-06-02,8,47921,Gebze bus station
125879931,2021-06-02,9,48021,İstanbul Dudullu
125879931,2021-06-02,10,47991,İstanbul Alibeyköy
125879931,2021-06-02,11,48041,İstanbul Esenler
126472741,2021-06-02,1,48031,MissingStop
126472741,2021-06-03,2,48351,Milas bus station
126472741,2021-06-03,3,48461,Söke bus station
126472741,2021-06-03,4,53121,Izmir otogar tesis
126472741,2021-06-03,5,49011,Izmir bus station
126472741,2021-06-03,6,48521,Turgutlu bus station
126472741,2021-06-03,7,48431,Salihli bus station
126472741,2021-06-03,8,49271,Kula (Manisa) bus station
126472741,2021-06-03,9,47572,Uşak bus station
126472741,2021-06-03,10,53081,Uşak other rest station
126472741,2021-06-03,11,52041,Banaz
126472741,2021-06-03,12,48771,Afyon bus station
126472741,2021-06-03,13,48411,Polatlı bus station
126472741,2021-06-03,14,48831,Ankara bus station
126472741,2021-06-03,15,49881,Kayaş Çalışkan
126472741,2021-06-03,16,49101,Elmadağ bus station
126472741,2021-06-03,17,48171,Kırıkkale bus station
126472741,2021-06-03,18,49501,Sungurlu bus station
126472741,2021-06-03,19,48961,Çorum bus station
126472741,2021-06-03,20,48341,Merzifon bus station
126472741,2021-06-03,21,49771,Havza bus station
126472741,2021-06-03,22,49871,Kavak bus station
126472741,2021-06-03,23,47612,Samsun
126749771,2021-06-02,1,4548,Lyon Perrache
126749771,2021-06-02,2,4698,Nîmes
126749771,2021-06-02,3,4638,Montpellier
126749771,2021-06-02,4,4758,Perpignan
126749771,2021-06-02,5,8658,Barcelona Nord
126910381,2021-06-02,1,36221,MissingStop
126910381,2021-06-02,2,36211,Cascais
126910381,2021-06-02,3,16958,Lisbon (Oriente)
126910381,2021-06-02,4,31731,Almada (Metro Cova Piedade)
126910381,2021-06-02,5,19308,Badajoz
126910381,2021-06-03,6,50211,Toledo
126910381,2021-06-03,7,19288,Madrid (South)
126910381,2021-06-03,8,16058,Madrid Airport (T4)
126966422,2021-06-02,1,48161,MissingStop
126966422,2021-06-02,2,49941,Avanos bus station
126966422,2021-06-02,3,49691,Göreme bus station
126966422,2021-06-02,4,47661,Nevşehir bus station
126966422,2021-06-02,5,47501,Acıgöl
126966422,2021-06-02,6,51651,Tuanna rest station
126966422,2021-06-02,7,48791,Aksaray bus station
126966422,2021-06-02,8,47901,Konya bus station
126966422,2021-06-02,9,48131,Beyşehir
126966422,2021-06-02,10,49401,Şarkikaraağaç bus station
126966422,2021-06-03,11,50171,Eğirdir bus station
126966422,2021-06-03,12,47981,Isparta bus station
126966422,2021-06-03,13,48841,Antalya bus station
127020512,2021-06-02,1,47901,Konya bus station
127020512,2021-06-02,2,48721,Cihanbeyli bus station
127020512,2021-06-02,3,48281,Kulu bus station
127020512,2021-06-02,4,48831,Ankara bus station
127020512,2021-06-03,5,51821,Unova
127020512,2021-06-03,6,47532,Sakarya
127020512,2021-06-03,7,47911,Kocaeli bus station
127020512,2021-06-03,8,47921,Gebze bus station
127020512,2021-06-03,9,48021,İstanbul Dudullu
127020512,2021-06-03,10,47991,İstanbul Alibeyköy
127020512,2021-06-03,11,48041,İstanbul Esenler
127126351,2021-06-02,1,29408,MissingStop
127126351,2021-06-02,2,29458,Huelva
127126351,2021-06-02,3,35721,Faro (Av. Republica)
127126351,2021-06-02,4,23638,Faro (Airport)
127126351,2021-06-02,5,31581,Albufeira (Av Pessanha Viegas)
127126351,2021-06-02,6,16958,Lisbon (Oriente)
127411141,2021-06-02,1,2196,Kraków MDA
127411141,2021-06-02,2,24068,Tatranská Lomnica
127411141,2021-06-02,3,24048,Starý Smokovec
127411141,2021-06-02,4,14098,Poprad
127411141,2021-06-03,5,14088,Prešov
127411141,2021-06-03,6,14068,Košice
127411141,2021-06-03,7,14288,Budapest Airport
127411141,2021-06-03,8,2015,Budapest Népliget
127566401,2021-06-02,1,10,Munich central bus station
127566401,2021-06-02,2,22638,Salzburg South
127566401,2021-06-02,3,9678,Villach
127566401,2021-06-02,4,10138,Udine (autostazione)
127566401,2021-06-02,5,2545,Trieste (Autostazione)
127566401,2021-06-02,6,7588,Opatija
127566401,2021-06-02,7,7598,Rijeka
127566401,2021-06-02,8,7568,Crikvenica
127690701,2021-06-02,1,11548,"Cologne South, Airport"
127690701,2021-06-02,2,25,Düsseldorf
127690701,2021-06-02,3,4808,Roermond
127690701,2021-06-02,4,5788,Eindhoven
127690701,2021-06-02,5,3268,Antwerp
127746141,2021-06-02,1,36711,Girona
127746141,2021-06-02,2,30691,Olot
127760751,2021-06-02,1,36711,Girona
127760751,2021-06-02,2,39091,Sant Feliu de Guíxols
127760881,2021-06-02,1,39091,Sant Feliu de Guíxols
127760881,2021-06-02,2,36711,Girona
127878441,2021-06-02,1,30691,Olot
127878441,2021-06-02,2,36711,Girona
128188751,2021-06-02,1,2186,Copenhagen
128188751,2021-06-02,2,14948,CPH Airport
128188751,2021-06-02,3,2265,Malmö
128188751,2021-06-03,4,9038,Jönköping
128188751,2021-06-03,5,9048,Linköping
128188751,2021-06-03,6,10408,Norrköping
128188751,2021-06-03,7,34061,Skavsta Flygplats
